run                                                                                        validation/ndcg@20 best (step)               eval/ndcg@20 @ ckpt           eval/recall@1000 @ ckpt   last step
beauty_mclsr_grid_03_graph_Beauty_confirm_seed3_2026-09-13T23:29:01                                        0.0617 @ 25216                                 -                                 -       35783
beauty_mclsr_grid_03_graph_a025_Beauty_2026-09-13T16:14:34                                                 0.0601 @ 24192                    0.0543 @ 24192                    0.5345 @ 24192       34789
beauty_mclsr_grid_03_graph_a075_Beauty_2026-09-13T16:44:02                                                 0.0632 @ 22656                    0.0579 @ 22656                    0.5379 @ 22656       32801
beauty_mclsr_grid_03_graph_a09_Beauty_2026-09-14T05:59:51                                                  0.0624 @ 21120                    0.0585 @ 21120                    0.5456 @ 21120       31807
beauty_mclsr_grid_03_graph_corrected_Beauty_2026-09-13T08:12:20                                            0.0612 @ 22464                    0.0561 @ 22464                    0.5467 @ 22464       32801
beauty_mclsr_grid_03_graph_cosine_t01_Beauty_2026-09-13T13:20:25                                           0.0623 @ 13056                    0.0569 @ 13056                    0.5368 @ 13056       23855
beauty_mclsr_grid_03_graph_cosine_t05_Beauty_2026-09-13T13:40:44                                           0.0619 @ 10496                    0.0577 @ 10496                    0.5327 @ 10496       20873
beauty_mclsr_grid_03_graph_cosine_t10_Beauty_2026-09-13T13:58:13                                            0.0617 @ 9856                     0.0547 @ 9856                     0.5308 @ 9856       19879
beauty_mclsr_grid_03_graph_euclid_t05_Beauty_2026-09-13T10:16:01                                           0.0643 @ 22656                    0.0589 @ 22656                    0.5398 @ 22656       32801
beauty_mclsr_grid_03_graph_euclid_t1_Beauty_2026-09-13T05:03:19                                            0.0631 @ 24320                    0.0574 @ 24320                    0.5405 @ 24320       34789
beauty_mclsr_grid_03_graph_euclid_t20_Beauty_2026-09-13T10:42:58                                           0.0636 @ 27712                    0.0599 @ 27712                    0.5367 @ 27712       37771
beauty_mclsr_grid_03_graph_il00_Beauty_2026-09-14T05:23:03                                                 0.0556 @ 10688                    0.0537 @ 10688                    0.4924 @ 10688       20873
beauty_mclsr_grid_03_graph_il00_Beauty_confirm_seed1_2026-09-14T08:08:02                                   0.0549 @ 10816                                 -                                 -       20873
beauty_mclsr_grid_03_graph_il00_Beauty_confirm_seed2_2026-09-14T08:20:17                                    0.0558 @ 7360                                 -                                 -       19879
beauty_mclsr_grid_03_graph_il00_Beauty_confirm_seed3_2026-09-14T08:31:44                                   0.0547 @ 10816                                 -                                 -       20873
beauty_mclsr_grid_03_graph_il025_Beauty_2026-09-14T05:41:26                                                0.0623 @ 11200                    0.0569 @ 11200                    0.5454 @ 11200       21867
beauty_mclsr_grid_03_graph_il05_Beauty_2026-09-13T14:54:00                                                 0.0621 @ 21056                    0.0591 @ 21056                    0.5317 @ 21056       31807
beauty_mclsr_grid_03_graph_il05_Beauty_confirm_seed1_2026-09-14T02:17:20                                   0.0627 @ 15616                                 -                                 -       25843
beauty_mclsr_grid_03_graph_il05_Beauty_confirm_seed2_2026-09-14T02:32:27                                   0.0616 @ 14016                                 -                                 -       24849
beauty_mclsr_grid_03_graph_il05_Beauty_confirm_seed3_2026-09-14T02:46:54                                   0.0633 @ 14464                                 -                                 -       24849
beauty_mclsr_grid_03_graph_il20_Beauty_2026-09-13T15:20:31                                                 0.0585 @ 39168                    0.0532 @ 39168                    0.5151 @ 39168       49699
