run                                                                               validation/ndcg@20 best (step)               eval/ndcg@20 @ ckpt           eval/recall@1000 @ ckpt   last step
mclsr_grid_04_graph_logq_lil_e64_Clothing_confirm_seed3_2026-09-14T23:56:24                       0.0258 @ 57600                                 -                                 -       75071
mclsr_grid_04_graph_logq_lil_l00_Clothing_2026-06-16T01:51                                        0.0276 @ 28224                    0.0275 @ 28160                    0.3591 @ 28160       88319
mclsr_grid_04_graph_logq_lil_l025_Clothing_2026-06-16T04:51                                       0.0270 @ 28288                    0.0250 @ 28160                    0.3534 @ 28160       88319
mclsr_grid_04_graph_logq_lil_l05_Clothing_2026-06-16T08:16                                        0.0267 @ 41152                    0.0257 @ 41216                    0.3562 @ 41216      100095
mclsr_grid_04_graph_logq_lil_loo_Clothing_2026-07-07T19:38                                        0.0255 @ 55424                    0.0242 @ 55296                    0.3442 @ 55296      114815
mclsr_grid_04_graph_logq_lil_nomask_Clothing_2026-07-07T22:19                                     0.0269 @ 53056                    0.0251 @ 52992                    0.3472 @ 52992      113343
mclsr_grid_04_graph_logq_lil_pos_Clothing_2026-07-08T17:04                                        0.0289 @ 25216                    0.0260 @ 25088                    0.3533 @ 25088       85375
mclsr_grid_05_full_baseline_Clothing_2026-06-16T20:16                                             0.0273 @ 30848                    0.0266 @ 30720                    0.3549 @ 30720       89791
mclsr_grid_05_full_baseline_g01_2026-07-19T00:57:22                                               0.0284 @ 24576                    0.0270 @ 24576                    0.3589 @ 24576       83903
mclsr_grid_06_full_logq_ucic_Clothing_2026-06-17T00:00                                            0.0288 @ 26752                    0.0257 @ 26624                    0.3542 @ 26624       86847
mclsr_grid_06_full_logq_ucic_Clothing_2026-06-30T00:02                                            0.0285 @ 26688                    0.0253 @ 26624                    0.3541 @ 26624       86847
mclsr_grid_06_full_logq_ucic_g01_2026-07-19T04:33:16                                              0.0282 @ 29632                    0.0262 @ 29696                    0.3599 @ 29696       89791
mclsr_grid_07_full_logq_all_Clothing_2026-06-17T13:45                                             0.0276 @ 65920                    0.0246 @ 65792                    0.3535 @ 65792      125119
